,accuracy,precision,recall,f1_score,roc_auc
K-NN,0.9954545454545455,0.0,0.0,0.0,0.49772579597141
Random Forest,0.9993506493506493,0.0,0.0,0.0,0.4889538661468486
XGBoost,0.9993506493506493,0.0,0.0,0.0,0.15919428200129954
SVM,0.9928571428571429,0.0,0.0,0.0,0.46751137102014295
