,Mag.,Prof(Km),Lat(°),Long(°)
Mag.,1.0,-0.08036150955219963,-0.032187152937202625,-0.011897586241780854
Prof(Km),-0.08036150955219963,1.0,0.13167474332221685,0.019148641709326272
Lat(°),-0.032187152937202625,0.13167474332221685,1.0,0.5238892386252524
Long(°),-0.011897586241780854,0.019148641709326272,0.5238892386252524,1.0
