modelo,f1_cv,f1_test,accuracy,kappa
Gradient Boost,0.7923075616766365,0.9277056277056277,0.9285714285714286,0.8715596330275229
Random Forest,0.7596478485992553,0.819393874491326,0.8214285714285714,0.6803652968036529
KNN,0.7799617621127919,0.6789772727272727,0.7142857142857143,0.4563106796116505
SVM,0.6448742313609026,0.6687074829931973,0.6785714285714286,0.43497757847533636
