Fecha-Hora  (UTC),Lat(°),Long(°),Prof(Km),Mag.,Tipo Mag.,Rms(Seg),Gap(°),Error Lat(Km),Error Long(Km),Error Prof(Km),Region,Estado,lat_corregida,lon_corregida,municipio,departamento,cod_municipio,cod_departamento
41700.35192129629,7856,-73717,0.0349,4e-05,MLr_vmm,0.2,212,45842.0,45781.0,45877.0,"Simití - Bolívar, Colombia",Manual,7.856,-73.717,PUERTO WILCHES,SANTANDER,575,68
41700.79059027778,8969,-74128,45.85,0.0001,MLr_vmm,0.2,323,4.0,45872.0,45722.0,"Barranco de Loba - Bolívar, Colombia",Manual,8.969,-74.128,HATILLO DE LOBA,BOLÍVAR,300,13
41700.79614583333,8981,-74104,45.82,9e-05,MLr_vmm,0.2,322,45780.0,45719.0,45782.0,"Barranco de Loba - Bolívar, Colombia",Manual,8.981,-74.104,HATILLO DE LOBA,BOLÍVAR,300,13
41700.801469907405,8984,-74099,45.667,4.569,MLr_vmm,0.2,286,3.0,45690.0,45749.0,"Hatillo de Loba - Bolívar, Colombia",Manual,8.984,-74.099,HATILLO DE LOBA,BOLÍVAR,300,13
41700.97474537037,7115,-73420,45.709,0.0001,MLr_vmm,0.2,248,45718.0,5.0,45723.0,"Lebrija - Santander, Colombia",Manual,7.115,-73.42,GIRÓN,SANTANDER,307,68
41701.238958333335,7430,-73811,0.036,7e-05,MLr_vmm,0.4,130,45902.0,45811.0,45721.0,"Cantagallo - Bolívar, Colombia",Manual,7.43,-73.811,PUERTO WILCHES,SANTANDER,575,68
41701.30684027778,6584,-74574,0.040100000000000004,4.5658,MLr_vmm,0.5,191,3.0,45845.0,45782.0,"Puerto Berrío - Antioquia, Colombia",Manual,6.584,-74.574,PUERTO BERRÍO,ANTIOQUIA,579,05
41701.332407407404,7153,-74219,0.0005,4.5748,MLr_vmm,0.3,162,45778.0,45690.0,45842.0,"Yondó (Casabe) - Antioquia, Colombia",Manual,7.153,-74.219,CANTAGALLO,BOLÍVAR,160,13
41701.70552083333,7021,-73555,45.704,4.5901,MLr_vmm,0.4,140,45690.0,45810.0,45903.0,"San Vicente de Chucurí - Santander, Colombia",Manual,7.021,-73.555,SAN VICENTE DE CHUCURÍ,SANTANDER,689,68
41701.778287037036,8964,-74126,45.729,4.5748,MLr_vmm,0.2,322,45691.0,45750.0,45811.0,"Barranco de Loba - Bolívar, Colombia",Manual,8.964,-74.126,HATILLO DE LOBA,BOLÍVAR,300,13
41702.26820601852,7882,-73319,45.69,5.9999999999999995e-05,MLr_vmm,0.2,220,45659.0,3.0,45721.0,"San Alberto - Cesar, Colombia",Manual,7.882,-73.319,ÁBREGO,NORTE DE SANTANDER,003,54
41702.35978009259,7961,-73952,0.0414,8e-05,MLr_vmm,0.2,286,45873.0,45660.0,45692.0,"Simití - Bolívar, Colombia",Manual,7.961,-73.952,SIMITÍ,BOLÍVAR,744,13
41702.7371875,6786,-73925,45.884,4.5778,MLr_vmm,0.5,180,45662.0,45720.0,45785.0,"Puerto Parra - Santander, Colombia",Manual,6.786,-73.925,SIMACOTA,SANTANDER,745,68
41703.27587962963,7144,-73505,45.676,4.5658,MLr_vmm,0.3,100,45749.0,45690.0,45876.0,"Sabana de Torres - Santander, Colombia",Manual,7.144,-73.505,BETULIA,SANTANDER,092,68
41704.78192129629,7473,-73965,0.0352,4.5689,MLr_vmm,0.3,126,2.0,45749.0,45692.0,"San Pablo - Bolívar, Colombia",Manual,7.473,-73.965,SAN PABLO,BOLÍVAR,670,13
41705.009571759256,6623,-74144,0.023,4.5839,MLr_vmm,0.3,163,45904.0,45901.0,45755.0,"Puerto Parra - Santander, Colombia",Manual,6.623,-74.144,CIMITARRA,SANTANDER,190,68
41705.28175925926,7714,-73729,0.0371,8e-05,MLr_vmm,0.2,149,45875.0,45901.0,45877.0,"San Pablo - Bolívar, Colombia",Manual,7.714,-73.729,RIONEGRO,SANTANDER,615,68
41706.339594907404,8133,-74437,0.039200000000000006,5e-05,MLr_vmm,0.3,175,45661.0,45873.0,3.0,"Montecristo - Bolívar, Colombia",Manual,8.133,-74.437,MONTECRISTO,BOLÍVAR,458,13
41706.903969907406,8608,-73705,0.0412,4.5717,MLr_vmm,0.1,191,45839.0,45717.0,45902.0,"Pelaya - Cesar, Colombia",Manual,8.608,-73.705,LA GLORIA,CESAR,383,20
41707.44861111111,8410,-74201,0.0325,2.9999999999999997e-05,MLr_vmm,0.1,258,45689.0,45870.0,45749.0,"Tiquisio (Puerto Rico) - Bolívar, Colombia",Manual,8.41,-74.201,NOROSÍ,BOLÍVAR,490,13
41707.525092592594,7896,-73722,0.039299999999999995,4.5748,MLr_vmm,0.1,277,45871.0,45748.0,45870.0,"Simití - Bolívar, Colombia",Manual,7.896,-73.722,PUERTO WILCHES,SANTANDER,575,68
41708.0284375,7728,-73740,0.0391,0.0001,MLr_vmm,0.2,166,45658.0,45718.0,45870.0,"Simití - Bolívar, Colombia",Manual,7.728,-73.74,RIONEGRO,SANTANDER,615,68
41708.1928587963,7739,-73392,0.0,4.569,MLr_vmm,0.4,112,45870.0,45659.0,45843.0,"San Alberto - Cesar, Colombia",Manual,7.739,-73.392,LA ESPERANZA,NORTE DE SANTANDER,385,54
41708.35039351852,8647,-73429,45.88,9e-05,MLr_vmm,0.0,241,45809.0,45689.0,45903.0,"El Carmen - Norte de Santander, Colombia",Manual,8.647,-73.429,EL CARMEN,NORTE DE SANTANDER,245,54
41708.486863425926,8431,-74193,45.867,4e-05,MLr_vmm,0.2,163,45748.0,45901.0,45841.0,"Tiquisio (Puerto Rico) - Bolívar, Colombia",Manual,8.431,-74.193,NOROSÍ,BOLÍVAR,490,13
