cod_municipio,municipio,departamento,total_sismos,magnitud_max,magnitud_promedio,profundidad_promedio,lat_centroide,lon_centroide
689,SAN VICENTE DE CHUCURÍ,SANTANDER,127,4.5902,1.806043464566929,7.214393700787401,6.8710472440944885,-73.52166141732283
710,SAN ALBERTO,CESAR,24,4.5839,1.3686404166666666,3.8398083333333335,7.8667083333333325,-73.38745833333333
720,SARDINATA,NORTE DE SANTANDER,40,4.587,2.656298,10.3113,6.4826250000000005,-73.552575
736,SEGOVIA,ANTIOQUIA,4,4.5748,3.4288675,11.4745,7.263999999999999,-74.58475
744,SIMITÍ,BOLÍVAR,203,4.5901,1.595601896551724,12.422949261083742,7.800354679802956,-74.04195566502463
745,SIMACOTA,SANTANDER,132,4.5901,1.8924597272727273,11.809211363636365,6.701795454545454,-73.77331818181818
750,SAN DIEGO,CESAR,7,4.584,2.615528571428571,13.095714285714285,10.14257142857143,-73.33414285714285
755,SOCORRO,SANTANDER,1,0.0001,0.0001,45.883,6.426,-73.306
756,SONSÓN,ANTIOQUIA,67,4.5839,1.682660014925373,0.6822567164179104,5.864626865671642,-74.82285074626866
770,SAN MARTÍN,CESAR,69,4.5839,0.7851744492753623,2.0175521739130438,7.9515507246376815,-73.57840579710145
773,SUCRE,SANTANDER,109,4.5901,2.958290293577982,1.271302752293578,5.99897247706422,-73.97777064220183
780,SURATÁ,SANTANDER,1,4.5689,4.5689,0.0,7.45,-72.968
787,TAMALAMEQUE,CESAR,38,4.5901,1.9310197368421052,9.653536842105263,8.948815789473684,-73.74168421052632
800,TEORAMA,NORTE DE SANTANDER,4,4.5809,3.431875,22.880499999999998,8.76875,-73.14175
808,TINJACÁ,BOYACÁ,1,0.1451,0.1451,0.008,5.572,-73.641
810,TIQUISIO (Puerto Rico),BOLÍVAR,103,4.5902,2.181258640776699,17.805209708737863,8.529058252427184,-74.24050485436894
858,VEGACHÍ,ANTIOQUIA,25,4.5901,3.66607132,7.328392,6.847799999999999,-74.63264
861,VÉLEZ,SANTANDER,37,4.587,1.888028108108108,2.4906351351351352,6.38827027027027,-73.72118918918919
871,VILLA CARO,NORTE DE SANTANDER,4,4.5901,3.435745,22.85425,7.91575,-73.01650000000001
885,YALÍ,ANTIOQUIA,20,4.5901,2.10663415,9.164745,6.33705,-74.54075
890,YOLOMBÓ,ANTIOQUIA,26,4.5839,1.972197923076923,8.797153846153845,6.672615384615384,-74.58823076923078
893,YONDÓ (Casabe),ANTIOQUIA,326,4.5901,1.5797872423312882,6.33137055214724,6.975039877300613,-74.11911042944784
895,ZAPATOCA,SANTANDER,22,4.587,1.494824090909091,10.419218181818183,6.8935,-73.33731818181819
